(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.096059, -0.136471, 0.305778),(-0.239590, 0.260557, 0.908253, -0.222422)(0.064887, -0.122451, 0.340277),(0.239553, -0.260593, -0.908467, 0.222246)(0.096061, -0.111076, 0.318146),(0.334349, 0.342511, 0.608052, -0.633794)(0.094828, -0.074082, 0.342025),(0.159969, 0.434404, 0.535250, -0.706895)(0.080582, -0.051877, 0.360397),(0.183921, 0.468566, 0.526218, -0.685703)(0.072173, -0.037938, 0.369630),(0.183921, 0.468566, 0.526218, -0.685703)(0.089174, -0.119869, 0.318905),(-0.150627, 0.249791, 0.947599, -0.130279)(0.067123, -0.092559, 0.371105),(-0.280287, 0.342707, 0.833021, -0.331791)(0.038035, -0.076431, 0.396575),(0.333551, -0.572339, -0.677042, 0.320751)(0.018150, -0.062803, 0.399549),(0.431111, -0.613161, -0.622819, 0.225244)(0.005830, -0.054165, 0.397683),(0.431111, -0.613161, -0.622819, 0.225244)(0.084463, -0.126474, 0.317236),(-0.199009, 0.222854, 0.899799, -0.317952)(0.053792, -0.109631, 0.367640),(0.353375, -0.432700, -0.787983, 0.258855)(0.017352, -0.086345, 0.385177),(0.418512, -0.670110, -0.598634, 0.132622)(-0.000586, -0.068072, 0.378616),(0.495492, -0.723192, -0.481814, 0.006567)(-0.008679, -0.056578, 0.369697),(0.495492, -0.723192, -0.481814, 0.006567)(0.077603, -0.134869, 0.315095),(-0.253255, 0.273024, 0.838373, -0.398058)(0.040848, -0.120203, 0.356466),(0.392656, -0.525053, -0.735294, 0.171764)(0.011110, -0.095195, 0.361972),(0.429770, -0.838305, -0.307583, -0.134281)(0.010210, -0.080712, 0.344193),(0.447867, -0.855290, -0.130820, -0.226324)(0.015134, -0.072938, 0.328460),(0.447867, -0.855290, -0.130820, -0.226324)(0.071612, -0.140227, 0.310725),(-0.310676, 0.331165, 0.754848, -0.473302)(0.029385, -0.129118, 0.342435),(0.419201, -0.603318, -0.678332, 0.012720)(0.014337, -0.108304, 0.340389),(0.397820, -0.861545, -0.174055, -0.263222)(0.020209, -0.098808, 0.325456),(0.410701, -0.801258, 0.037615, -0.434037)(0.030776, -0.094489, 0.316420),(0.410701, -0.801258, 0.037615, -0.434037)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.090047, -0.135022, 0.311037),(-0.228401, 0.250038, 0.917079, -0.209663)(0.060043, -0.120958, 0.346546),(0.228358, -0.250074, -0.917297, 0.209479)(0.091197, -0.110037, 0.324042),(0.332269, 0.327155, 0.624594, -0.626879)(0.091395, -0.073542, 0.349060),(0.181141, 0.412467, 0.564896, -0.691704)(0.079616, -0.050506, 0.368174),(0.224965, 0.429973, 0.566103, -0.666737)(0.073605, -0.035689, 0.378147),(0.224965, 0.429973, 0.566103, -0.666737)(0.084034, -0.118608, 0.324693),(-0.139077, 0.237608, 0.954516, -0.114455)(0.063907, -0.092071, 0.378072),(-0.283831, 0.324629, 0.841511, -0.325474)(0.034892, -0.076843, 0.404523),(0.334325, -0.555561, -0.693559, 0.314090)(0.015158, -0.063227, 0.408392),(0.429529, -0.596069, -0.642724, 0.218133)(0.002862, -0.054455, 0.407194),(0.429529, -0.596069, -0.642724, 0.218133)(0.079070, -0.124989, 0.322932),(-0.191090, 0.210464, 0.909927, -0.302030)(0.049939, -0.108575, 0.374360),(0.348935, -0.424123, -0.798806, 0.245561)(0.014123, -0.084896, 0.392917),(0.408468, -0.655717, -0.622129, 0.127659)(-0.003705, -0.066114, 0.387811),(0.483374, -0.711738, -0.510368, 0.004011)(-0.011994, -0.054092, 0.379838),(0.483374, -0.711738, -0.510368, 0.004011)(0.071885, -0.133069, 0.320697),(-0.245769, 0.260771, 0.851378, -0.383083)(0.036313, -0.118357, 0.363455),(0.373445, -0.509334, -0.757482, 0.165402)(0.007533, -0.092952, 0.371383),(0.409890, -0.838274, -0.336224, -0.127819)(0.006125, -0.077610, 0.354371),(0.429613, -0.862164, -0.155676, -0.219796)(0.010603, -0.069268, 0.338779),(0.429613, -0.862164, -0.155676, -0.219796)(0.065626, -0.138088, 0.316299),(-0.302804, 0.317484, 0.771794, -0.460270)(0.024099, -0.126536, 0.349920),(0.383113, -0.571164, -0.725586, 0.023216)(0.009247, -0.105854, 0.351297),(0.374969, -0.868386, -0.216338, -0.242081)(0.014066, -0.095448, 0.336559),(0.391234, -0.820518, 0.006394, -0.417285)(0.024114, -0.090834, 0.327054),(0.391234, -0.820518, 0.006394, -0.417285)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.088308, -0.134273, 0.313019),(-0.223679, 0.251149, 0.922159, -0.190263)(0.058981, -0.119299, 0.348611),(0.223635, -0.251182, -0.922369, 0.190079)(0.090457, -0.109548, 0.326098),(0.334456, 0.325090, 0.632608, -0.618701)(0.091368, -0.072842, 0.351254),(0.210932, 0.406808, 0.579884, -0.673986)(0.081518, -0.048359, 0.370050),(0.254783, 0.422677, 0.579714, -0.648740)(0.076746, -0.032915, 0.379711),(0.254783, 0.422677, 0.579714, -0.648740)(0.082984, -0.117816, 0.326717),(-0.133918, 0.236900, 0.957649, -0.094093)(0.064028, -0.090834, 0.380354),(-0.284985, 0.321669, 0.847062, -0.312759)(0.035064, -0.075307, 0.407058),(0.328129, -0.544592, -0.708214, 0.307055)(0.015699, -0.061495, 0.411702),(0.419195, -0.565499, -0.675383, 0.220999)(0.003415, -0.052776, 0.411843),(0.419195, -0.565499, -0.675383, 0.220999)(0.077775, -0.123949, 0.324930),(-0.187378, 0.211016, 0.916773, -0.282647)(0.049422, -0.106736, 0.376431),(0.349669, -0.431058, -0.800152, 0.227385)(0.014032, -0.081873, 0.394410),(0.402182, -0.653792, -0.630481, 0.115985)(-0.003271, -0.062665, 0.389728),(0.473645, -0.696558, -0.539560, 0.008426)(-0.011927, -0.050329, 0.382793),(0.473645, -0.696558, -0.539560, 0.008426)(0.070278, -0.131678, 0.322664),(-0.241433, 0.262726, 0.860012, -0.364780)(0.035443, -0.115852, 0.365444),(0.367841, -0.518824, -0.757837, 0.145659)(0.007608, -0.089172, 0.372947),(0.395262, -0.843577, -0.336518, -0.137831)(0.006840, -0.073651, 0.356077),(0.414497, -0.866913, -0.171399, -0.218438)(0.011146, -0.064961, 0.340709),(0.414497, -0.866913, -0.171399, -0.218438)(0.063813, -0.136402, 0.318240),(-0.297459, 0.320364, 0.782374, -0.443595)(0.022821, -0.123422, 0.352019),(0.371330, -0.575034, -0.728970, 0.008428)(0.008732, -0.102146, 0.353628),(0.361413, -0.871186, -0.228203, -0.241741)(0.013500, -0.091492, 0.339127),(0.377542, -0.830155, -0.015592, -0.410534)(0.023237, -0.086600, 0.329487),(0.377542, -0.830155, -0.015592, -0.410534)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.087672, -0.131623, 0.316297),(-0.220405, 0.254623, 0.922849, -0.186095)(0.058663, -0.116174, 0.351859),(0.220363, -0.254656, -0.923053, 0.185915)(0.089939, -0.106896, 0.329130),(0.333640, 0.335149, 0.623214, -0.623294)(0.089833, -0.069589, 0.353892),(0.225092, 0.412748, 0.572211, -0.672357)(0.080131, -0.044347, 0.372080),(0.271533, 0.425375, 0.573709, -0.645522)(0.075649, -0.028562, 0.381325),(0.271533, 0.425375, 0.573709, -0.645522)(0.082486, -0.115122, 0.329853),(-0.130097, 0.240677, 0.957647, -0.089784)(0.064063, -0.087550, 0.383427),(-0.283691, 0.321677, 0.847186, -0.313590)(0.034943, -0.071884, 0.410400),(0.320146, -0.526583, -0.721009, 0.316960)(0.015705, -0.058424, 0.416219),(0.407793, -0.527849, -0.705938, 0.239301)(0.003299, -0.050174, 0.417874),(0.407793, -0.527849, -0.705938, 0.239301)(0.077254, -0.121186, 0.328146),(-0.183237, 0.214392, 0.917927, -0.279053)(0.049343, -0.103356, 0.379611),(0.347980, -0.435763, -0.798772, 0.225854)(0.014034, -0.078073, 0.397345),(0.399526, -0.653353, -0.632265, 0.117922)(-0.003235, -0.058896, 0.392817),(0.470218, -0.687766, -0.553393, 0.019162)(-0.012273, -0.046587, 0.386401),(0.470218, -0.687766, -0.553393, 0.019162)(0.069720, -0.128823, 0.325985),(-0.237395, 0.266923, 0.861129, -0.361736)(0.035422, -0.112416, 0.368420),(0.373086, -0.539196, -0.743056, 0.134017)(0.007804, -0.084704, 0.373958),(0.395676, -0.847136, -0.323851, -0.144977)(0.007560, -0.069503, 0.356814),(0.414634, -0.866424, -0.177666, -0.215087)(0.011643, -0.060707, 0.341539),(0.414634, -0.866424, -0.177666, -0.215087)(0.063195, -0.133521, 0.321623),(-0.293239, 0.324615, 0.783530, -0.441267)(0.022572, -0.119913, 0.355235),(0.372641, -0.589879, -0.716380, 0.000491)(0.008766, -0.098090, 0.355917),(0.366418, -0.868241, -0.236451, -0.236823)(0.013158, -0.087305, 0.341587),(0.381829, -0.833676, -0.054407, -0.395857)(0.022106, -0.081612, 0.331730),(0.381829, -0.833676, -0.054407, -0.395857)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.085946, -0.128700, 0.318086),(-0.197492, 0.253242, 0.927288, -0.191632)(0.058835, -0.113192, 0.354741),(0.197449, -0.253278, -0.927472, 0.191469)(0.088274, -0.104457, 0.330126),(0.339307, 0.367494, 0.567966, -0.654056)(0.083951, -0.065574, 0.352713),(0.234483, 0.448083, 0.506142, -0.699013)(0.071104, -0.039813, 0.368838),(-0.281230, -0.454077, -0.514928, 0.671251)(0.065089, -0.023918, 0.376907),(-0.281230, -0.454077, -0.514928, 0.671251)(0.081200, -0.112646, 0.331436),(-0.104347, 0.243692, 0.959799, -0.092263)(0.065676, -0.084258, 0.385831),(-0.261486, 0.322317, 0.851143, -0.321421)(0.037690, -0.067929, 0.413954),(0.293865, -0.508228, -0.735495, 0.338375)(0.018962, -0.054686, 0.421454),(0.377747, -0.490157, -0.738547, 0.268644)(0.006717, -0.046905, 0.424949),(0.377747, -0.490157, -0.738547, 0.268644)(0.076019, -0.118538, 0.330138),(-0.157909, 0.212074, 0.922278, -0.281946)(0.050960, -0.100111, 0.382601),(0.336646, -0.456037, -0.791892, 0.227227)(0.016204, -0.073386, 0.399379),(0.389102, -0.672918, -0.617361, 0.121644)(-0.000618, -0.054155, 0.393938),(0.460233, -0.695290, -0.551551, 0.035779)(-0.009816, -0.042017, 0.387495),(0.460233, -0.695290, -0.551551, 0.035779)(0.068530, -0.125976, 0.328537),(-0.214565, 0.262285, 0.865322, -0.369306)(0.036818, -0.109395, 0.371769),(0.372109, -0.569212, -0.721510, 0.130285)(0.009534, -0.080551, 0.374758),(0.394673, -0.858168, -0.294632, -0.145157)(0.009914, -0.066352, 0.356805),(0.414475, -0.871669, -0.162414, -0.206082)(0.013970, -0.058168, 0.341258),(0.414475, -0.871669, -0.162414, -0.206082)(0.061809, -0.130730, 0.324555),(-0.272828, 0.318920, 0.788151, -0.450193)(0.023164, -0.116879, 0.359455),(0.367118, -0.618692, -0.694595, 0.000304)(0.009668, -0.094155, 0.358527),(0.371098, -0.870584, -0.237970, -0.218723)(0.013405, -0.083598, 0.344043),(0.388459, -0.840457, -0.079748, -0.369930)(0.021476, -0.077516, 0.333747),(0.388459, -0.840457, -0.079748, -0.369930)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.084211, -0.126576, 0.320543),(-0.170549, 0.250254, 0.932212, -0.197485)(0.059246, -0.110890, 0.358591),(0.170504, -0.250292, -0.932386, 0.197331)(0.086943, -0.102823, 0.332092),(-0.352234, -0.379823, -0.522840, 0.677698)(0.080314, -0.063257, 0.353035),(-0.239275, -0.466223, -0.449962, 0.723814)(0.064984, -0.037710, 0.368056),(-0.277010, -0.474741, -0.456780, 0.700128)(0.057274, -0.022324, 0.375460),(-0.277010, -0.474741, -0.456780, 0.700128)(0.080131, -0.110866, 0.333949),(-0.076336, 0.244770, 0.962075, -0.093121)(0.067913, -0.081872, 0.389082),(-0.246163, 0.342046, 0.848603, -0.319845)(0.040702, -0.063788, 0.416646),(0.277521, -0.525832, -0.728608, 0.340166)(0.022325, -0.049860, 0.423713),(0.362612, -0.506518, -0.733427, 0.273096)(0.010276, -0.041726, 0.427054),(0.362612, -0.506518, -0.733427, 0.273096)(0.074926, -0.116566, 0.333030),(-0.130591, 0.207599, 0.927494, -0.282142)(0.053121, -0.097673, 0.386403),(0.328052, -0.483372, -0.780537, 0.222531)(0.018909, -0.069042, 0.401339),(0.379029, -0.695892, -0.598259, 0.119600)(0.002723, -0.049665, 0.394662),(0.451552, -0.715682, -0.532153, 0.037821)(-0.006098, -0.037638, 0.387530),(0.451552, -0.715682, -0.532153, 0.037821)(0.067398, -0.123773, 0.331950),(-0.189234, 0.253940, 0.871528, -0.374358)(0.038437, -0.107011, 0.376476),(0.357089, -0.581709, -0.718037, 0.136173)(0.011600, -0.077499, 0.379203),(0.385850, -0.867548, -0.284722, -0.132333)(0.011827, -0.063847, 0.360818),(0.407830, -0.880258, -0.147227, -0.193884)(0.015826, -0.056316, 0.344910),(0.407830, -0.880258, -0.147227, -0.193884)(0.060450, -0.128514, 0.328364),(-0.249477, 0.307877, 0.795980, -0.457590)(0.023884, -0.114413, 0.365308),(0.345574, -0.622048, -0.702430, 0.015634)(0.010468, -0.091480, 0.364970),(0.362184, -0.878190, -0.244883, -0.194261)(0.013470, -0.081013, 0.350215),(0.384759, -0.851222, -0.079881, -0.348534)(0.021145, -0.075175, 0.339467),(0.384759, -0.851222, -0.079881, -0.348534)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.084277, -0.125303, 0.321367),(-0.118734, 0.243747, 0.937601, -0.216993)(0.063399, -0.109528, 0.361883),(0.118671, -0.243802, -0.937800, 0.216816)(0.087783, -0.102475, 0.332020),(-0.394125, -0.383691, -0.449902, 0.704209)(0.079459, -0.062170, 0.349687),(-0.248859, -0.482237, -0.352812, 0.762835)(0.060490, -0.037801, 0.363591),(-0.244389, -0.504067, -0.339725, 0.756065)(0.049471, -0.024647, 0.370466),(-0.244389, -0.504067, -0.339725, 0.756065)(0.081400, -0.110169, 0.334907),(-0.024855, 0.248567, 0.962821, -0.102828)(0.075121, -0.080130, 0.390425),(0.273642, -0.529009, -0.755606, 0.272666)(0.045659, -0.052841, 0.402619),(0.280443, -0.690572, -0.602881, 0.284756)(0.028026, -0.036613, 0.399944),(0.376995, -0.673572, -0.591883, 0.232958)(0.016683, -0.027324, 0.397087),(0.376995, -0.673572, -0.591883, 0.232958)(0.076172, -0.115623, 0.334710),(-0.078212, 0.198002, 0.933540, -0.288412)(0.060536, -0.096121, 0.389348),(0.298905, -0.539673, -0.755659, 0.220027)(0.027872, -0.063700, 0.400667),(0.350500, -0.745543, -0.553224, 0.124094)(0.012891, -0.044396, 0.391324),(0.428195, -0.766420, -0.477341, 0.045641)(0.004987, -0.032938, 0.382380),(0.428195, -0.766420, -0.477341, 0.045641)(0.068636, -0.122549, 0.334616),(-0.140243, 0.235770, 0.879962, -0.387829)(0.044938, -0.105664, 0.381467),(0.312712, -0.598762, -0.720119, 0.158560)(0.019097, -0.074860, 0.384995),(0.362290, -0.886227, -0.274218, -0.090832)(0.018233, -0.062216, 0.365907),(0.391646, -0.898548, -0.128127, -0.152521)(0.021380, -0.055892, 0.349261),(0.391646, -0.898548, -0.128127, -0.152521)(0.061372, -0.127347, 0.331830),(-0.204600, 0.284054, 0.807386, -0.474953)(0.028984, -0.113084, 0.372565),(0.298134, -0.623162, -0.721253, 0.050957)(0.015740, -0.089778, 0.373788),(0.343197, -0.892077, -0.258205, -0.140874)(0.017101, -0.079532, 0.358585),(0.377979, -0.872269, -0.084051, -0.299487)(0.023732, -0.074135, 0.346922),(0.377979, -0.872269, -0.084051, -0.299487)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.083704, -0.124836, 0.322865),(-0.092124, 0.233397, 0.942237, -0.221154)(0.065228, -0.109446, 0.364646),(0.092052, -0.233458, -0.942441, 0.220973)(0.087900, -0.102513, 0.333375),(-0.412639, -0.369837, -0.427336, 0.714970)(0.080066, -0.062274, 0.350504),(-0.238515, -0.474285, -0.318987, 0.785664)(0.059912, -0.039270, 0.365316),(-0.207858, -0.503178, -0.292146, 0.786827)(0.047612, -0.027883, 0.372779),(-0.207858, -0.503178, -0.292146, 0.786827)(0.081656, -0.110063, 0.336623),(0.002476, 0.242326, 0.964503, -0.104910)(0.078738, -0.080422, 0.392523),(0.269995, -0.588863, -0.717084, 0.257194)(0.049908, -0.050942, 0.399236),(0.272062, -0.746701, -0.545446, 0.266450)(0.033170, -0.034805, 0.392898),(0.371942, -0.730625, -0.528477, 0.221249)(0.022472, -0.025720, 0.387759),(0.371942, -0.730625, -0.528477, 0.221249)(0.076388, -0.115404, 0.336697),(-0.052013, 0.186143, 0.937985, -0.287801)(0.064137, -0.096298, 0.392069),(0.270545, -0.561599, -0.750670, 0.218924)(0.033067, -0.061767, 0.402688),(0.323623, -0.766612, -0.539026, 0.131008)(0.018682, -0.042354, 0.392620),(0.404198, -0.789033, -0.460038, 0.055653)(0.011090, -0.031087, 0.383172),(0.404198, -0.789033, -0.460038, 0.055653)(0.068815, -0.122192, 0.336991),(-0.115934, 0.220431, 0.886874, -0.389134)(0.048064, -0.105646, 0.385181),(0.275241, -0.602655, -0.730021, 0.167739)(0.023527, -0.073653, 0.390142),(0.336850, -0.897628, -0.277193, -0.063710)(0.021869, -0.061265, 0.370934),(0.371538, -0.911586, -0.127162, -0.123521)(0.024240, -0.055408, 0.353975),(0.371538, -0.911586, -0.127162, -0.123521)(0.061379, -0.126923, 0.334569),(-0.182833, 0.266629, 0.816711, -0.477980)(0.031458, -0.112828, 0.377325),(0.266570, -0.620172, -0.735050, 0.063615)(0.018720, -0.089076, 0.379724),(0.325558, -0.898765, -0.270878, -0.113835)(0.019238, -0.078761, 0.364510),(0.366126, -0.885088, -0.095276, -0.271983)(0.025186, -0.073439, 0.352450),(0.366126, -0.885088, -0.095276, -0.271983)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.084811, -0.123785, 0.322520),(-0.010915, 0.220768, 0.941500, -0.253779)(0.073354, -0.108111, 0.366607),(0.010828, -0.220847, -0.941697, 0.253607)(0.089498, -0.101646, 0.331976),(-0.426257, -0.331506, -0.340662, 0.770176)(0.079657, -0.062296, 0.350559),(-0.217693, -0.419408, -0.236990, 0.849317)(0.058663, -0.042728, 0.369604),(-0.194883, -0.438004, -0.221063, 0.849758)(0.046550, -0.033082, 0.379535),(-0.194883, -0.438004, -0.221063, 0.849758)(0.084446, -0.109240, 0.336304),(0.085646, 0.244545, 0.956773, -0.132088)(0.090728, -0.078198, 0.391084),(0.214997, -0.617874, -0.692462, 0.304172)(0.063220, -0.048594, 0.396966),(0.246750, -0.796949, -0.457474, 0.307881)(0.045990, -0.034709, 0.387541),(0.351778, -0.783236, -0.436125, 0.270117)(0.035068, -0.027320, 0.380445),(0.351778, -0.783236, -0.436125, 0.270117)(0.079471, -0.114554, 0.337349),(0.031917, 0.170354, 0.934672, -0.310401)(0.076718, -0.094351, 0.393488),(0.197674, -0.563855, -0.753824, 0.273429)(0.047894, -0.059079, 0.407083),(0.275266, -0.782466, -0.521921, 0.199275)(0.032200, -0.040554, 0.397237),(0.363977, -0.804413, -0.451469, 0.131501)(0.023278, -0.030121, 0.388001),(0.363977, -0.804413, -0.451469, 0.131501)(0.072327, -0.121333, 0.339022),(-0.036553, 0.192805, 0.887252, -0.417463)(0.059929, -0.104227, 0.389689),(0.211377, -0.597550, -0.739004, 0.228351)(0.036079, -0.072171, 0.397698),(0.318030, -0.902911, -0.288510, 0.021675)(0.030977, -0.060548, 0.378619),(0.366589, -0.918885, -0.142766, -0.036633)(0.030309, -0.055314, 0.361311),(0.366589, -0.918885, -0.142766, -0.036633)(0.064711, -0.126270, 0.338013),(-0.109438, 0.229136, 0.821296, -0.510874)(0.042325, -0.111960, 0.385126),(0.208262, -0.614237, -0.750019, 0.129729)(0.029544, -0.088463, 0.389425),(0.313477, -0.901491, -0.297371, -0.026780)(0.027004, -0.078299, 0.374320),(0.370135, -0.900971, -0.127771, -0.188161)(0.030535, -0.072953, 0.361354),(0.370135, -0.900971, -0.127771, -0.188161)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
(0.083145, -0.114004, 0.334462),(0.035467, 0.224946, 0.933486, -0.276468)(0.075480, -0.097064, 0.378809),(-0.035557, -0.225036, -0.933676, 0.276304)(0.087801, -0.091640, 0.342754),(-0.437324, -0.309104, -0.285050, 0.795453)(0.076919, -0.052598, 0.361847),(-0.219385, -0.385311, -0.187423, 0.876953)(0.056271, -0.034219, 0.382926),(-0.196308, -0.401415, -0.173474, 0.878061)(0.044553, -0.025329, 0.393964),(-0.196308, -0.401415, -0.173474, 0.878061)(0.083560, -0.099185, 0.347732),(0.130939, 0.257468, 0.945140, -0.152567)(0.094269, -0.065806, 0.400538),(0.168920, -0.594873, -0.703064, 0.351155)(0.067928, -0.036951, 0.409993),(0.231239, -0.790968, -0.439594, 0.357409)(0.049466, -0.024214, 0.401392),(0.337652, -0.776532, -0.424183, 0.321608)(0.037704, -0.017595, 0.394899),(0.337652, -0.776532, -0.424183, 0.321608)(0.078880, -0.104515, 0.349405),(0.080392, 0.173293, 0.924996, -0.328466)(0.080966, -0.082183, 0.404847),(0.161874, -0.556203, -0.751982, 0.314612)(0.053016, -0.047579, 0.420338),(0.260841, -0.789366, -0.500053, 0.242790)(0.036120, -0.030191, 0.410316),(0.353223, -0.807447, -0.437740, 0.179777)(0.026219, -0.020597, 0.401174),(0.353223, -0.807447, -0.437740, 0.179777)(0.072150, -0.111320, 0.351957),(0.011077, 0.188208, 0.878857, -0.438254)(0.064148, -0.092592, 0.403047),(0.179483, -0.592251, -0.737247, 0.271126)(0.040332, -0.061043, 0.412564),(0.315699, -0.900611, -0.289465, 0.074453)(0.033072, -0.050172, 0.393744),(0.372338, -0.916464, -0.147192, 0.015869)(0.030570, -0.045504, 0.376442),(0.372338, -0.916464, -0.147192, 0.015869)(0.064610, -0.116466, 0.351861),(-0.063620, 0.217601, 0.814539, -0.533975)(0.046424, -0.100958, 0.400419),(0.178591, -0.615032, -0.748140, 0.173625)(0.033446, -0.077790, 0.405269),(0.311960, -0.901670, -0.298514, 0.025737)(0.029166, -0.068187, 0.390182),(0.379557, -0.905424, -0.133101, -0.137502)(0.031303, -0.063188, 0.376778),(0.379557, -0.905424, -0.133101, -0.137502)(0.000000, 0.000000, 0.000000),(0.000000, 0.000000, 0.000000, 0.000000)
