(-0.047095, 0.035241, -0.174874),(0.112557, 0.080785, 0.006899, 0.990332),(-0.046702, 0.041230, 0.119815),(0.069980, 0.081118, -0.005710, 0.994228),(0.0, 0.0, 0.1),(0.160500, -0.140078, 0.977045),(0.062146, -0.053768, 0.782424),
(-0.047110, 0.035307, -0.174882),(0.112780, 0.080850, 0.006953, 0.990301),(-0.046706, 0.041207, 0.119813),(0.070052, 0.081154, -0.005718, 0.994220),(0.0, 0.0, 0.1),(0.160569, -0.140222, 0.977014),(0.062196, -0.053894, 0.782445),
(-0.047149, 0.035317, -0.174973),(0.112295, 0.080310, 0.006745, 0.990401),(-0.046710, 0.041183, 0.119808),(0.070109, 0.081177, -0.005724, 0.994214),(0.0, 0.0, 0.1),(0.160612, -0.140335, 0.976990),(0.062226, -0.054000, 0.782459),
(-0.047034, 0.035184, -0.174929),(0.112292, 0.080556, 0.006604, 0.990383),(-0.046716, 0.041165, 0.119804),(0.070152, 0.081193, -0.005729, 0.994210),(0.0, 0.0, 0.1),(0.160641, -0.140422, 0.976973),(0.062245, -0.054080, 0.782470),
(-0.047092, 0.035308, -0.174974),(0.112631, 0.080883, 0.007196, 0.990313),(-0.046719, 0.041152, 0.119799),(0.070189, 0.081211, -0.005733, 0.994206),(0.0, 0.0, 0.1),(0.160677, -0.140495, 0.976957),(0.062270, -0.054148, 0.782481),
(-0.047099, 0.035241, -0.175023),(0.112280, 0.080910, 0.007119, 0.990352),(-0.046721, 0.041141, 0.119794),(0.070214, 0.081232, -0.005737, 0.994202),(0.0, 0.0, 0.1),(0.160716, -0.140547, 0.976943),(0.062299, -0.054197, 0.782490),
(-0.047158, 0.035097, -0.175099),(0.112514, 0.080856, 0.007062, 0.990330),(-0.046723, 0.041131, 0.119789),(0.070234, 0.081249, -0.005740, 0.994200),(0.0, 0.0, 0.1),(0.160749, -0.140587, 0.976932),(0.062323, -0.054237, 0.782499),
(-0.047048, 0.035233, -0.175072),(0.112550, 0.080662, 0.007411, 0.990339),(-0.046723, 0.041123, 0.119784),(0.070251, 0.081261, -0.005742, 0.994197),(0.0, 0.0, 0.1),(0.160773, -0.140620, 0.976923),(0.062341, -0.054271, 0.782505),
(-0.046947, 0.035269, -0.175008),(0.111872, 0.080606, 0.007056, 0.990423),(-0.046723, 0.041115, 0.119780),(0.070259, 0.081270, -0.005743, 0.994196),(0.0, 0.0, 0.1),(0.160789, -0.140637, 0.976918),(0.062354, -0.054291, 0.782509),
(-0.046865, 0.035075, -0.175065),(0.112106, 0.080827, 0.006853, 0.990380),(-0.046721, 0.041109, 0.119776),(0.070265, 0.081278, -0.005744, 0.994195),(0.0, 0.0, 0.1),(0.160805, -0.140647, 0.976914),(0.062369, -0.054306, 0.782514),
(-0.046811, 0.035125, -0.174984),(0.112322, 0.081109, 0.006752, 0.990333),(-0.046718, 0.041102, 0.119773),(0.070271, 0.081289, -0.005746, 0.994194),(0.0, 0.0, 0.1),(0.160827, -0.140660, 0.976908),(0.062389, -0.054323, 0.782519),
(-0.046765, 0.035196, -0.174978),(0.112471, 0.081227, 0.006480, 0.990308),(-0.046714, 0.041097, 0.119770),(0.070278, 0.081301, -0.005747, 0.994192),(0.0, 0.0, 0.1),(0.160850, -0.140675, 0.976902),(0.062410, -0.054340, 0.782525),
(-0.046779, 0.035202, -0.174899),(0.112581, 0.081369, 0.006611, 0.990283),(-0.046709, 0.041092, 0.119768),(0.070288, 0.081316, -0.005749, 0.994190),(0.0, 0.0, 0.1),(0.160879, -0.140694, 0.976895),(0.062437, -0.054360, 0.782532),
(-0.046756, 0.035116, -0.174877),(0.112547, 0.081327, 0.006816, 0.990289),(-0.046702, 0.041087, 0.119767),(0.070299, 0.081334, -0.005751, 0.994188),(0.0, 0.0, 0.1),(0.160913, -0.140717, 0.976886),(0.062470, -0.054383, 0.782541),
(-0.046729, 0.035042, -0.174868),(0.113005, 0.081101, 0.006762, 0.990256),(-0.046695, 0.041081, 0.119767),(0.070313, 0.081350, -0.005753, 0.994186),(0.0, 0.0, 0.1),(0.160945, -0.140745, 0.976876),(0.062502, -0.054410, 0.782549),
(-0.046717, 0.035109, -0.174881),(0.113177, 0.080945, 0.006584, 0.990250),(-0.046687, 0.041074, 0.119768),(0.070333, 0.081365, -0.005756, 0.994183),(0.0, 0.0, 0.1),(0.160974, -0.140784, 0.976866),(0.062532, -0.054446, 0.782558),
(-0.046701, 0.035078, -0.174894),(0.113350, 0.081080, 0.006467, 0.990220),(-0.046678, 0.041066, 0.119769),(0.070357, 0.081380, -0.005759, 0.994180),(0.0, 0.0, 0.1),(0.161001, -0.140833, 0.976855),(0.062562, -0.054489, 0.782568),
(-0.046720, 0.035113, -0.174900),(0.113237, 0.081389, 0.006549, 0.990207),(-0.046670, 0.041058, 0.119770),(0.070383, 0.081396, -0.005762, 0.994177),(0.0, 0.0, 0.1),(0.161033, -0.140884, 0.976842),(0.062594, -0.054535, 0.782578),
(-0.046863, 0.035237, -0.174871),(0.112706, 0.081559, 0.006658, 0.990253),(-0.046662, 0.041051, 0.119771),(0.070405, 0.081415, -0.005766, 0.994174),(0.0, 0.0, 0.1),(0.161070, -0.140929, 0.976829),(0.062630, -0.054574, 0.782589),
(-0.046971, 0.035232, -0.174880),(0.112462, 0.081487, 0.006992, 0.990284),(-0.046656, 0.041045, 0.119772),(0.070422, 0.081436, -0.005769, 0.994171),(0.0, 0.0, 0.1),(0.161111, -0.140962, 0.976818),(0.062667, -0.054605, 0.782599),
(-0.047150, 0.035189, -0.174915),(0.112352, 0.081285, 0.007256, 0.990312),(-0.046653, 0.041041, 0.119773),(0.070433, 0.081455, -0.005771, 0.994169),(0.0, 0.0, 0.1),(0.161148, -0.140985, 0.976808),(0.062697, -0.054627, 0.782607),
(-0.047259, 0.035789, -0.174923),(0.111341, 0.080526, 0.007482, 0.990486),(-0.046652, 0.041039, 0.119774),(0.070434, 0.081467, -0.005772, 0.994167),(0.0, 0.0, 0.1),(0.161171, -0.140986, 0.976804),(0.062714, -0.054631, 0.782611),
(-0.047138, 0.036365, -0.174794),(0.108596, 0.080602, 0.007969, 0.990781),(-0.046653, 0.041044, 0.119775),(0.070404, 0.081473, -0.005770, 0.994169),(0.0, 0.0, 0.1),(0.161184, -0.140927, 0.976811),(0.062721, -0.054585, 0.782608),
(-0.047403, 0.036939, -0.174965),(0.105102, 0.080390, 0.008988, 0.991166),(-0.046658, 0.041064, 0.119778),(0.070289, 0.081475, -0.005760, 0.994177),(0.0, 0.0, 0.1),(0.161192, -0.140699, 0.976842),(0.062714, -0.054404, 0.782592),
(-0.047348, 0.037412, -0.175382),(0.103201, 0.079935, 0.009496, 0.991398),(-0.046671, 0.041123, 0.119776),(0.069993, 0.081461, -0.005735, 0.994199),(0.0, 0.0, 0.1),(0.161175, -0.140108, 0.976930),(0.062673, -0.053930, 0.782544),
(-0.047236, 0.037473, -0.175544),(0.102066, 0.079841, 0.009657, 0.991521),(-0.046683, 0.041184, 0.119752),(0.069686, 0.081443, -0.005708, 0.994223),(0.0, 0.0, 0.1),(0.161149, -0.139496, 0.977022),(0.062629, -0.053441, 0.782495),
(-0.047190, 0.037152, -0.176281),(0.100287, 0.080437, 0.009035, 0.991661),(-0.046710, 0.041340, 0.119671),(0.068851, 0.081401, -0.005637, 0.994285),(0.0, 0.0, 0.1),(0.161095, -0.137834, 0.977267),(0.062530, -0.052126, 0.782366),
