(-0.024100, 0.057475, -0.158405),(0.107721, 0.071844, 0.003180, 0.991577),(-0.022278, 0.062631, 0.135673),(0.063806, 0.072663, -0.004658, 0.995303),(0.0, 0.1, 0.1),(0.144049, -0.127689, 0.981298),(-0.001878, 0.044548, 0.274642),
(-0.025095, 0.057578, -0.158185),(0.107575, 0.073008, 0.003519, 0.991506),(-0.022844, 0.062579, 0.135778),(0.064552, 0.072732, -0.004717, 0.995249),(0.0, 0.1, 0.1),(0.144163, -0.129176, 0.981086),(-0.002449, 0.044305, 0.274573),
(-0.026331, 0.057731, -0.157882),(0.107071, 0.073242, 0.004163, 0.991541),(-0.023465, 0.062573, 0.135922),(0.064995, 0.072929, -0.004763, 0.995206),(0.0, 0.1, 0.1),(0.144540, -0.130061, 0.980914),(-0.003045, 0.044198, 0.274501),
(-0.027593, 0.057856, -0.157593),(0.106835, 0.072566, 0.003974, 0.991617),(-0.024172, 0.062595, 0.136099),(0.065218, 0.073026, -0.004786, 0.995184),(0.0, 0.1, 0.1),(0.144725, -0.130507, 0.980828),(-0.003763, 0.044191, 0.274415),
(-0.028276, 0.058209, -0.157372),(0.106121, 0.071679, 0.003497, 0.991760),(-0.024821, 0.062665, 0.136290),(0.064949, 0.072734, -0.004747, 0.995223),(0.0, 0.1, 0.1),(0.144157, -0.129967, 0.980983),(-0.004537, 0.044378, 0.274322),
(-0.030065, 0.057959, -0.156473),(0.101586, 0.066997, 0.005234, 0.992555),(-0.026078, 0.062832, 0.136689),(0.064053, 0.071711, -0.004615, 0.995356),(0.0, 0.1, 0.1),(0.142166, -0.128173, 0.981509),(-0.006171, 0.044884, 0.274126),
(-0.030327, 0.057894, -0.156301),(0.102481, 0.065656, 0.006145, 0.992547),(-0.027244, 0.062963, 0.137065),(0.063216, 0.070343, -0.004467, 0.995508),(0.0, 0.1, 0.1),(0.139489, -0.126493, 0.982111),(-0.007805, 0.045335, 0.273929),
(-0.031516, 0.057749, -0.155978),(0.103199, 0.063673, 0.006771, 0.992598),(-0.028390, 0.063025, 0.137423),(0.062655, 0.068827, -0.004331, 0.995650),(0.0, 0.1, 0.1),(0.136513, -0.125362, 0.982674),(-0.009454, 0.045636, 0.273731),
(-0.032127, 0.057666, -0.156004),(0.102204, 0.063089, 0.008787, 0.992722),(-0.029392, 0.063017, 0.137730),(0.062138, 0.067426, -0.004207, 0.995779),(0.0, 0.1, 0.1),(0.133761, -0.124318, 0.983185),(-0.010913, 0.045842, 0.273556),
(-0.032508, 0.056978, -0.156430),(0.101660, 0.060520, 0.011155, 0.992914),(-0.030190, 0.062934, 0.137936),(0.061645, 0.066032, -0.004087, 0.995903),(0.0, 0.1, 0.1),(0.131018, -0.123326, 0.983679),(-0.012146, 0.045950, 0.273408),
(-0.032657, 0.056134, -0.157075),(0.102179, 0.057035, 0.011533, 0.993063),(-0.030874, 0.062703, 0.137989),(0.061283, 0.064242, -0.003953, 0.996043),(0.0, 0.1, 0.1),(0.127491, -0.122588, 0.984235),(-0.013351, 0.045854, 0.273263),
(-0.032723, 0.054747, -0.158060),(0.103763, 0.053615, 0.011301, 0.993092),(-0.031431, 0.062264, 0.137816),(0.061313, 0.061994, -0.003816, 0.996184),(0.0, 0.1, 0.1),(0.123046, -0.122632, 0.984795),(-0.014525, 0.045415, 0.273122),
(-0.032736, 0.053470, -0.159284),(0.106677, 0.050321, 0.011953, 0.992948),(-0.031829, 0.061655, 0.137447),(0.061853, 0.059583, -0.003699, 0.996298),(0.0, 0.1, 0.1),(0.118268, -0.123688, 0.985248),(-0.015557, 0.044638, 0.272998),
(-0.032575, 0.052422, -0.160589),(0.108610, 0.047160, 0.010821, 0.992906),(-0.032114, 0.060810, 0.136835),(0.062895, 0.056893, -0.003591, 0.996391),(0.0, 0.1, 0.1),(0.112923, -0.125745, 0.985615),(-0.016527, 0.043454, 0.272881),
(-0.032486, 0.051124, -0.161939),(0.108631, 0.045915, 0.008773, 0.992983),(-0.032303, 0.059694, 0.135932),(0.064056, 0.054161, -0.003482, 0.996469),(0.0, 0.1, 0.1),(0.107493, -0.128036, 0.985927),(-0.017383, 0.041923, 0.272778),
(-0.032893, 0.049250, -0.163776),(0.108056, 0.045429, 0.007399, 0.993079),(-0.032430, 0.058566, 0.134928),(0.064927, 0.051970, -0.003386, 0.996530),(0.0, 0.1, 0.1),(0.103140, -0.129755, 0.986167),(-0.018020, 0.040439, 0.272702),
(-0.033476, 0.048086, -0.166114),(0.108976, 0.044318, 0.005582, 0.993040),(-0.032566, 0.057298, 0.133636),(0.065716, 0.050033, -0.003299, 0.996578),(0.0, 0.1, 0.1),(0.099290, -0.131312, 0.986356),(-0.018574, 0.038793, 0.272635),
(-0.034056, 0.047052, -0.168399),(0.107850, 0.043285, 0.003803, 0.993217),(-0.032805, 0.055876, 0.131903),(0.066255, 0.048215, -0.003205, 0.996632),(0.0, 0.1, 0.1),(0.095681, -0.132373, 0.986571),(-0.019163, 0.037003, 0.272564),
(-0.034844, 0.046191, -0.170750),(0.105194, 0.042039, 0.001691, 0.993561),(-0.033144, 0.054557, 0.130013),(0.066187, 0.046614, -0.003095, 0.996713),(0.0, 0.1, 0.1),(0.092512, -0.132227, 0.986893),(-0.019788, 0.035467, 0.272489),
